interactingUser	interactedUser	timestamp
883345842	61879392	1427736810000
8818142	74453123	1427737042000
46976620	15791324	1427737217000
2935689130	10228272	1427737243000
387886034	32353247	1427737374000
387886034	222806880	1427737374000
387886034	404246300	1427737374000
387886034	935087198	1427737374000
935087198	222806880	1427737490000
33609845	6809022	1427737524000
935087198	387886034	1427737524000
1003872762	36936738	1427738070000
1003872762	36936738	1427738267000
3039403901	10228272	1427738282000
28773384	1959299844	1427738392000
6809022	33609845	1427738593000
936686582	10613562	1427738709000
936686582	388934098	1427738709000
1670976422	492699309	1427738851000
239034334	967007766	1427738975000
164272584	1486005187	1427739068000
92274737	10228272	1427739481000
955449966	164272584	1427740198000
378309492	295608887	1427741205000
408448532	700791180	1427741275000
700791180	408448532	1427741310000
408448532	700791180	1427741334000
408448532	700791180	1427741398000
15720907	68510305	1427741896000
316330878	408394577	1427742248000
300430009	10228272	1427742295000
465440346	81580508	1427742746000
1068761904	10228272	1427743279000
1068761904	1068761904	1427743279000
411805332	466805503	1427743288000
411805332	466805503	1427743300000
2408907504	11254812	1427743554000
1425533737	61879392	1427744689000
3103027871	2194494121	1427744763000
2794293607	33869750	1427745030000
1512162973	15243058	1427745258000
1566701912	791941939	1427745330000
1566701912	791941939	1427745420000
378309492	235995835	1427746307000
378309492	235995835	1427746345000
1486005187	164272584	1427746846000
1486005187	164272584	1427746849000
1402420620	1880592055	1427746893000
847146180	1066786543	1427747015000
1510582604	10228272	1427747056000
1510582604	475078654	1427747056000
1606461228	2205069596	1427747113000
928518679	928518679	1427747132000
928518679	928518679	1427747233000
928518679	928518679	1427747256000
921677660	928518679	1427747826000
921677660	928518679	1427747829000
921677660	928518679	1427747833000
1566701912	61879392	1427747944000
1566701912	388934098	1427747944000
2182752379	525264466	1427748282000
18957805	18957805	1427748671000
101565470	101565470	1427748801000
380904886	701423664	1427748924000
29711457	228609209	1427749026000
29711457	1190505763	1427749038000
29711457	132774626	1427749065000
248257339	2288138575	1427749177000
454300570	103452377	1427749812000
883345842	61879392	1427749893000
296228173	2364180962	1427750266000
13673642	2572513062	1427750389000
157621749	15095537	1427750600000
164272584	10228272	1427751052000
164272584	1486005187	1427751052000
1486005187	164272584	1427751117000
1230837734	5162861	1427751362000
411103879	319901422	1427751426000
15720907	68510305	1427751504000
319901422	411103879	1427751533000
63551851	319901422	1427751566000
63551851	411103879	1427751571000
125110407	319901422	1427751585000
125110407	411103879	1427751591000
236904416	803291118	1427751627000
49924852	319901422	1427751663000
49924852	411103879	1427751668000
847146180	1066786543	1427751863000
96005647	14824411	1427751896000
96005647	2288138575	1427751896000
96005647	2558484630	1427751896000
1066786543	847146180	1427752095000
847146180	1066786543	1427752143000
847146180	1066786543	1427752211000
236904416	38381308	1427752335000
614102723	1663358436	1427752366000
2668193645	20013148	1427752955000
2323094430	437734610	1427754004000
494588158	494588158	1427754374000
1031045072	494588158	1427754443000
3103027871	2194494121	1427754457000
3103027871	296228173	1427754525000
3103027871	2194494121	1427754705000
1031045072	260708432	1427754780000
