iteration	precision	recall	hits	coverage
220	0.001541	0.001089	154	1.000000
221	0.001211	0.000856	121	1.000000
222	0.001271	0.000898	127	1.000000
223	0.001421	0.001004	142	1.000000
224	0.001321	0.000934	132	1.000000
225	0.001271	0.000898	127	1.000000
226	0.001291	0.000912	129	1.000000
227	0.001351	0.000955	135	1.000000
228	0.001431	0.001011	143	1.000000
229	0.001241	0.000877	124	1.000000
230	0.001411	0.000997	141	1.000000
231	0.001611	0.001139	161	1.000000
232	0.001511	0.001068	151	1.000000
233	0.001411	0.000997	141	1.000000
234	0.001541	0.001089	154	1.000000
235	0.001221	0.000863	122	1.000000
236	0.001491	0.001054	149	1.000000
